119	70	52
54	119	54
76	76	70
119	119	105
119	120	73
76	119	61
66	55	41
74	119	74
82	76	76
77	54	77
66	82	59
119	54	56
70	70	42
119	119	98
55	55	55
119	57	57
119	54	51
54	60	66
60	119	70
120	119	73
70	93	98
70	70	73
96	52	74
96	103	74
103	63	53
52	63	58
70	55	55
66	108	108
66	56	58
52	66	51
110	103	110
66	103	86
103	70	53
93	69	91
102	93	102
55	92	92
70	103	57
36	60	62
56	52	34
103	52	53
120	93	93
66	66	64
36	56	35
54	80	55
55	54	51
80	55	42
55	55	41
80	70	70
55	60	51
93	63	99
55	60	47
56	55	44
55	55	45
70	101	101
56	54	42
55	56	45
63	55	59
56	56	53
63	56	48
120	70	51
56	55	42
82	55	82
63	55	53
63	81	81
69	88	79
58	69	46
81	58	83
81	58	54
55	120	69
69	61	67
81	88	73
120	50	76
63	89	89
70	58	55
88	103	103
70	63	45
69	58	43
50	105	105
58	63	52
81	63	53
63	120	61
96	63	45
63	57	57
63	63	59
36	58	40
70	63	48
81	71	62
120	81	98
120	51	103
37	37	34
111	37	111
107	120	107
81	71	64
61	58	44
37	51	42
71	65	61
58	65	48
65	71	52
37	81	71
61	70	62
61	81	81
65	58	61
56	71	56
65	58	57
51	65	54
47	65	47
65	58	53
55	51	55
106	75	86
75	75	61
75	75	58
75	71	62
71	106	104
51	99	78
71	71	60
61	71	51
71	74	53
99	71	86
61	91	91
61	54	43
61	71	58
71	43	45
106	87	87
74	61	66
70	75	49
112	71	112
61	58	49
75	71	60
71	75	70
71	55	42
39	39	43
58	41	33
39	39	38
59	70	64
49	74	53
75	60	67
43	58	42
58	59	57
39	53	41
64	53	48
75	39	45
39	53	44
58	58	55
41	41	33
60	41	60
53	39	46
59	59	59
53	54	54
47	107	47
46	39	46
42	74	42
47	59	47
70	70	70
57	57	56
54	70	52
53	57	51
57	54	57
54	140	45
70	54	52
54	54	54
54	84	84
82	53	82
65	57	51
75	57	68
65	74	35
57	58	46
70	72	72
51	53	56
81	57	81
58	120	83
80	57	64
54	53	62
53	54	48
54	53	52
67	36	44
55	93	94
67	75	46
75	75	75
67	67	63
55	75	61
57	80	46
67	93	92
60	55	55
97	75	97
93	80	91
67	110	110
75	51	43
97	102	97
57	44	52
57	96	96
80	58	55
67	67	59
67	74	65
36	68	68
55	44	45
58	67	63
51	74	48
67	93	73
80	68	58
36	51	49
140	53	44
53	115	66
75	93	93
51	53	43
53	90	90
51	51	47
93	74	61
53	51	43
67	60	60
115	53	66
68	93	63
80	51	62
68	68	59
93	67	61
58	51	53
95	51	95
58	93	58
53	51	42
51	58	39
68	120	70
74	68	60
134	68	88
43	134	91
63	67	67
43	60	60
68	80	44
72	63	49
134	58	110
68	72	60
67	68	67
49	80	44
68	91	91
68	81	81
63	120	63
134	120	105
